"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): 5-49 persons","2020",100,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): 50+ persons","2020",100,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): Not stated","2020",98.363,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Not elsewhere classified","Establishment size (Aggregate): Total","2020",96.57,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Male","Occupation (Skill level): Not elsewhere classified","Establishment size (Aggregate): Not stated","2020",97.235,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Total","Establishment size (Aggregate): Total","2020",97.823,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Total","Establishment size (Aggregate): 1-4 persons","2020",98.441,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Total","Establishment size (Aggregate): 5-49 persons","2020",97.998,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Total","Establishment size (Aggregate): 50+ persons","2020",97.729,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Total","Establishment size (Aggregate): Not stated","2020",97.312,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): Total","2020",92.956,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): 1-4 persons","2020",92.717,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): 5-49 persons","2020",93.929,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): 50+ persons","2020",95.482,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill levels 3 and 4 ~ high","Establishment size (Aggregate): Not stated","2020",92.927,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): Total","2020",98.126,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): 1-4 persons","2020",98.845,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): 5-49 persons","2020",98.921,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): 50+ persons","2020",100,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill level 2 ~ medium","Establishment size (Aggregate): Not stated","2020",97.461,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): Total","2020",99.12,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): 1-4 persons","2020",95.676,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): 5-49 persons","2020",100,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Skill level 1 ~ low","Establishment size (Aggregate): Not stated","2020",100,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Not elsewhere classified","Establishment size (Aggregate): Total","2020",100,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Female","Occupation (Skill level): Not elsewhere classified","Establishment size (Aggregate): Not stated","2020",100,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): Total","Establishment size (Aggregate): Total","2020",96.759,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): Total","Establishment size (Aggregate): 1-4 persons","2020",97.9,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): Total","Establishment size (Aggregate): 5-49 persons","2020",95.602,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): Total","Establishment size (Aggregate): 50+ persons","2020",79.881,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): Total","Establishment size (Aggregate): Not stated","2020",96.098,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 1. Managers","Establishment size (Aggregate): Total","2020",92.602,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 1. Managers","Establishment size (Aggregate): 1-4 persons","2020",94.079,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 1. Managers","Establishment size (Aggregate): 5-49 persons","2020",93.257,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 1. Managers","Establishment size (Aggregate): 50+ persons","2020",,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 1. Managers","Establishment size (Aggregate): Not stated","2020",91.492,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 2. Professionals","Establishment size (Aggregate): Total","2020",87.043,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 2. Professionals","Establishment size (Aggregate): 1-4 persons","2020",87.893,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 2. Professionals","Establishment size (Aggregate): 5-49 persons","2020",84.816,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 2. Professionals","Establishment size (Aggregate): 50+ persons","2020",51.913,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 2. Professionals","Establishment size (Aggregate): Not stated","2020",88.424,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 3. Technicians and associate professionals","Establishment size (Aggregate): Total","2020",93.948,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 3. Technicians and associate professionals","Establishment size (Aggregate): 1-4 persons","2020",95.97,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 3. Technicians and associate professionals","Establishment size (Aggregate): 5-49 persons","2020",100,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 3. Technicians and associate professionals","Establishment size (Aggregate): 50+ persons","2020",81.547,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 3. Technicians and associate professionals","Establishment size (Aggregate): Not stated","2020",92.134,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 4. Clerical support workers","Establishment size (Aggregate): Total","2020",76.801,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 4. Clerical support workers","Establishment size (Aggregate): 1-4 persons","2020",100,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 4. Clerical support workers","Establishment size (Aggregate): 5-49 persons","2020",88.136,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 4. Clerical support workers","Establishment size (Aggregate): 50+ persons","2020",88.655,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 4. Clerical support workers","Establishment size (Aggregate): Not stated","2020",65.216,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 5. Service and sales workers","Establishment size (Aggregate): Total","2020",92.779,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 5. Service and sales workers","Establishment size (Aggregate): 1-4 persons","2020",89.856,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 5. Service and sales workers","Establishment size (Aggregate): 5-49 persons","2020",90.685,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 5. Service and sales workers","Establishment size (Aggregate): 50+ persons","2020",83.123,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 5. Service and sales workers","Establishment size (Aggregate): Not stated","2020",97.684,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Establishment size (Aggregate): Total","2020",98.286,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Establishment size (Aggregate): 1-4 persons","2020",99.813,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Establishment size (Aggregate): 5-49 persons","2020",99.532,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Establishment size (Aggregate): 50+ persons","2020",100,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Establishment size (Aggregate): Not stated","2020",96.924,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 7. Craft and related trades workers","Establishment size (Aggregate): Total","2020",96.481,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 7. Craft and related trades workers","Establishment size (Aggregate): 1-4 persons","2020",97.076,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 7. Craft and related trades workers","Establishment size (Aggregate): 5-49 persons","2020",91.659,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 7. Craft and related trades workers","Establishment size (Aggregate): 50+ persons","2020",,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HIES - Indicator Cluster Survey","Informal employment rate by sex, occupation and establishment size (%)","Total","Occupation (ISCO-08): 7. Craft and related trades workers","Establishment size (Aggregate): Not stated","2020",96.504,,,,"Repository: ILO-STATISTICS - Micro data processing"
