VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,China,2022,12.718733056,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Colombia,2022,0.866927966,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Comoros,2022,0.391666667,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Congo,2022,0.000480769,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Costa Rica,2022,1.852119631,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Croatia,2022,0.072037915,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cuba,2022,11.854669465,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cyprus,2022,22.692307692,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Czechia,2022,0.33460076,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Côte d'Ivoire,2022,0.713097219,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic People's Republic of Korea,2022,8.567725211,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic Republic of the Congo,2022,0.005604053,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Denmark,2022,8.44145,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Djibouti,2022,1,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominica,2022,0.5,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominican Republic,2022,32.182978723,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ecuador,2022,1.825497287,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2022,106.695652174,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2022,5.371069661,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2022,0.003846154,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2022,7.518796993,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2022,0.03904512,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2022,22.305986696,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2022,7.940163934,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2022,0.175131349,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2022,0.909090909,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2022,1.192020651,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2022,0.024277108,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2022,0.49,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2022,0.685236065,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Germany,2022,0.697838312,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ghana,2022,1.903914591,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Greece,2022,11.852339181,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Grenada,2022,1.05,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guatemala,2022,1.47447424,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea,2022,0.265486726,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea-Bissau,2022,0.458598726,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guyana,2022,0.502952029,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Haiti,2022,8.622165169,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Honduras,2022,1.27815633,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Hungary,2022,0.5275125,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iceland,2022,0.000176471,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,India,2022,36.003977183,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Indonesia,2022,9.397136771,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iran (Islamic Republic of),2022,62.753110292,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iraq,2022,34.6861785,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ireland,2022,0.076211538,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Israel,2022,68.235955056,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Italy,2022,8.886565604,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jamaica,2022,0.729665023,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Japan,2022,12.325581395,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jordan,2022,60.897545358,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kazakhstan,2022,13.157457799,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kenya,2022,10.534201954,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kuwait,2022,3892,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kyrgyzstan,2022,30.061817258,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lao People's Democratic Republic,2022,2.113943029,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latvia,2022,0.143382942,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lebanon,2022,15.545192094,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lesotho,2022,0.12574454,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Liberia,2022,0.005301724,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Libya,2022,692.857142857,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lithuania,2022,0.239755102,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Luxembourg,2022,0.014285714,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Madagascar,2022,3.857566766,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Malawi,2022,6.747685185,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Malaysia,2022,0.431896552,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Maldives,2022,0.893981,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mali,2022,4.229166667,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Malta,2022,42.293463366,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mauritania,2022,10.728070175,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mauritius,2022,11.014176663,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mexico,2022,14.835414646,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mongolia,2022,0.720977012,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Morocco,2022,31.572413793,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mozambique,2022,0.495624136,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Myanmar,2022,2.532111663,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Namibia,2022,0.503633175,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Nepal,2022,4.433872502,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Netherlands (Kingdom of the),2022,0.291303297,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,New Zealand,2022,0.980733945,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Nicaragua,2022,0.658886458,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Niger,2022,6.90574743,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Nigeria,2022,1.925227114,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,North Macedonia,2022,2.171875,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Norway,2022,0.214987277,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Oman,2022,110.5,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Pakistan,2022,69.854132901,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Palestine,2022,18.876941458,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Panama,2022,0.320234882,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Papua New Guinea,2022,0.000124844,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Paraguay,2022,0.48920752,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Peru,2022,1.123098202,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Philippines,2022,14.183132979,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Poland,2022,2.116066116,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Portugal,2022,4.417932816,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Puerto Rico,2022,1.598591549,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Qatar,2022,536.475862069,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Republic of Korea,2022,22.898134864,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Republic of Moldova,2022,0.448247759,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Romania,2022,1.393802179,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Russian Federation,2022,0.411893195,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Rwanda,2022,2.714285714,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Saint Kitts and Nevis,2022,0.833333333,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Saint Lucia,2022,10.133333333,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Saint Vincent and the Grenadines,2022,0,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Sao Tome and Principe,2022,1.174311927,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Saudi Arabia,2022,883.333333333,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Senegal,2022,7.078989479,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Serbia,2022,0.260172626,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Sierra Leone,2022,0.0285625,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Singapore,2022,0,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Slovakia,2022,0.065570958,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Slovenia,2022,0.01066834,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Somalia,2022,22.319727891,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,South Africa,2022,23.055501461,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,South Sudan,2022,0.484848485,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Spain,2022,17.004484305,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Sri Lanka,2022,21.420454546,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Sudan,2022,68.544973545,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Suriname,2022,0.435454546,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Sweden,2022,0.05862069,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Switzerland,2022,0.299252336,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Syrian Arab Republic,2022,87.311034401,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Tajikistan,2022,33.674121406,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Thailand,2022,11.807756321,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Timor-Leste,2022,13.037127206,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Togo,2022,0.517006803,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Trinidad and Tobago,2022,0.434895833,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Tunisia,2022,58.72156013,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Turkmenistan,2022,65.090248334,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Türkiye,2022,26.524914934,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uganda,2022,0.430948419,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ukraine,2022,0.588201734,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Arab Emirates,2022,1643.789882667,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Kingdom of Great Britain and Northern Ireland,2022,0.804761905,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United Republic of Tanzania,2022,4.811467747,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,United States of America,2022,5.741283806,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uruguay,2022,2.020513732,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Uzbekistan,2022,83.896050747,%,E,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Venezuela (Bolivarian Republic of),2022,1.261132075,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Viet Nam,2022,8.794055106,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Yemen,2022,154.047619048,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Zambia,2022,1.099236641,%,I,false
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Zimbabwe,2022,21.406246975,%,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Afghanistan,2022,13.192248571,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Albania,2022,241.544022121,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Algeria,2022,351.158334445,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Angola,2022,202.180575971,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,2022,108.996654032,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Argentina,2022,37.776810184,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Armenia,2022,20.778964981,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Australia,2022,120.178760216,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Austria,2022,43.450437846,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Azerbaijan,2022,51.933285283,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bahrain,2022,1040.563260461,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bangladesh,2022,154.456264917,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Barbados,2022,79.126553146,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Belarus,2022,39.476604299,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Belgium,2022,21.825166078,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Belize,2022,15.645911575,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Benin,2022,90.224097723,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bhutan,2022,158.735674009,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bolivia (Plurinational State of),2022,286.436633646,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bosnia and Herzegovina,2022,8.5415526,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Botswana,2022,260.900943747,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Brazil,2022,33.59235792,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bulgaria,2022,2.858271919,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Burkina Faso,2022,225.359581942,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Burundi,2022,38.035827573,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cabo Verde,2022,56.983677983,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cambodia,2022,282.957577224,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cameroon,2022,91.719302923,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Canada,2022,13.663199277,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Central African Republic,2022,34.279122007,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Chad,2022,72.968256614,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Chile,2022,50.676376539,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,China,2022,68.781798826,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Colombia,2022,79.265196658,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Comoros,2022,217.306132805,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Congo,2022,154.787572589,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Costa Rica,2022,52.172099117,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Croatia,2022,22.121450917,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cuba,2022,21.012526366,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Cyprus,2022,166.618496418,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Czechia,2022,74.077615971,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Côte d'Ivoire,2022,58.17080778,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Democratic People's Republic of Korea,2022,5.394883093,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Democratic Republic of the Congo,2022,149.039222335,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Denmark,2022,1362.672294992,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Dominican Republic,2022,46.955277883,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Ecuador,2022,54.573683483,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Egypt,2022,26.086816653,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,El Salvador,2022,61.485515553,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Equatorial Guinea,2022,1697.746751153,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Eritrea,2022,723.38254367,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Estonia,2022,4.895081018,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Eswatini,2022,67.603312168,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Ethiopia,2022,440.105355615,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Fiji,2022,68.204701596,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Finland,2022,44.800305907,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,France,2022,23.184128865,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Gabon,2022,588.81679495,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Gambia,2022,12.770703631,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Georgia,2022,10.16487148,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Germany,2022,61.893990466,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Ghana,2022,219.298209789,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Greece,2022,86.30859191,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Guatemala,2022,26.460693535,US$/m3,E,false
