Year,Drug Type,Deaths
2000-01-01,Benzodiazepines,164.0
2001-01-01,Benzodiazepines,182.0
2002-01-01,Benzodiazepines,245.0
2003-01-01,Benzodiazepines,186.0
2004-01-01,Benzodiazepines,140.0
2005-01-01,Benzodiazepines,110.0
2006-01-01,Benzodiazepines,94.0
2007-01-01,Benzodiazepines,109.0
2008-01-01,Benzodiazepines,149.0
2009-01-01,Benzodiazepines,154.0
2010-01-01,Benzodiazepines,122.0
2011-01-01,Benzodiazepines,185.0
2012-01-01,Benzodiazepines,196.0
2013-01-01,Benzodiazepines,149.0
2014-01-01,Benzodiazepines,121.0
2015-01-01,Benzodiazepines,191.0
2016-01-01,Benzodiazepines,426.0
2017-01-01,Benzodiazepines,552.0
2018-01-01,Benzodiazepines,792.0
2019-01-01,Benzodiazepines,902.0
2020-01-01,Benzodiazepines,974.0
2000-01-01,Gabapentin/Pregabalin,0.0
2001-01-01,Gabapentin/Pregabalin,0.0
2002-01-01,Gabapentin/Pregabalin,0.0
2003-01-01,Gabapentin/Pregabalin,0.0
2004-01-01,Gabapentin/Pregabalin,0.0
2005-01-01,Gabapentin/Pregabalin,0.0
2006-01-01,Gabapentin/Pregabalin,0.0
2007-01-01,Gabapentin/Pregabalin,0.0
2008-01-01,Gabapentin/Pregabalin,2.0
2009-01-01,Gabapentin/Pregabalin,2.0
2010-01-01,Gabapentin/Pregabalin,3.0
2011-01-01,Gabapentin/Pregabalin,8.0
2012-01-01,Gabapentin/Pregabalin,25.0
2013-01-01,Gabapentin/Pregabalin,56.0
2014-01-01,Gabapentin/Pregabalin,86.0
2015-01-01,Gabapentin/Pregabalin,131.0
2016-01-01,Gabapentin/Pregabalin,208.0
2017-01-01,Gabapentin/Pregabalin,242.0
2018-01-01,Gabapentin/Pregabalin,367.0
2019-01-01,Gabapentin/Pregabalin,443.0
2020-01-01,Gabapentin/Pregabalin,502.0
1996-01-01,Cocaine,3.0
1997-01-01,Cocaine,5.0
1998-01-01,Cocaine,4.0
1999-01-01,Cocaine,12.0
2000-01-01,Cocaine,4.0
2001-01-01,Cocaine,19.0
2002-01-01,Cocaine,31.0
2003-01-01,Cocaine,29.0
2004-01-01,Cocaine,38.0
2005-01-01,Cocaine,44.0
2006-01-01,Cocaine,33.0
2007-01-01,Cocaine,47.0
2008-01-01,Cocaine,36.0
2009-01-01,Cocaine,32.0
2010-01-01,Cocaine,33.0
2011-01-01,Cocaine,36.0
2012-01-01,Cocaine,31.0
2013-01-01,Cocaine,45.0
2014-01-01,Cocaine,45.0
2015-01-01,Cocaine,93.0
2016-01-01,Cocaine,123.0
2017-01-01,Cocaine,176.0
2018-01-01,Cocaine,273.0
2019-01-01,Cocaine,372.0
2020-01-01,Cocaine,459.0
1996-01-01,Ectasy,9.0
1997-01-01,Ectasy,2.0
1998-01-01,Ectasy,3.0
1999-01-01,Ectasy,8.0
2000-01-01,Ectasy,11.0
2001-01-01,Ectasy,20.0
2002-01-01,Ectasy,20.0
2003-01-01,Ectasy,14.0
2004-01-01,Ectasy,17.0
2005-01-01,Ectasy,10.0
2006-01-01,Ectasy,13.0
2007-01-01,Ectasy,11.0
2008-01-01,Ectasy,5.0
2009-01-01,Ectasy,2.0
2010-01-01,Ectasy,0.0
2011-01-01,Ectasy,8.0
2012-01-01,Ectasy,9.0
2013-01-01,Ectasy,17.0
2014-01-01,Ectasy,14.0
2015-01-01,Ectasy,15.0
2016-01-01,Ectasy,28.0
2017-01-01,Ectasy,27.0
2018-01-01,Ectasy,35.0
2019-01-01,Ectasy,25.0
2020-01-01,Ectasy,40.0
2000-01-01,Amphetamines,3.0
2001-01-01,Amphetamines,5.0
2002-01-01,Amphetamines,13.0
2003-01-01,Amphetamines,10.0
2004-01-01,Amphetamines,10.0
2005-01-01,Amphetamines,11.0
2006-01-01,Amphetamines,11.0
2007-01-01,Amphetamines,11.0
2008-01-01,Amphetamines,11.0
2009-01-01,Amphetamines,6.0
2010-01-01,Amphetamines,3.0
2011-01-01,Amphetamines,24.0
2012-01-01,Amphetamines,18.0
2013-01-01,Amphetamines,27.0
2014-01-01,Amphetamines,22.0
2015-01-01,Amphetamines,17.0
2016-01-01,Amphetamines,25.0
2017-01-01,Amphetamines,32.0
2018-01-01,Amphetamines,46.0
2019-01-01,Amphetamines,52.0
2020-01-01,Amphetamines,60.0
1996-01-01,Alcohol,87.0
1997-01-01,Alcohol,70.0
1998-01-01,Alcohol,86.0
1999-01-01,Alcohol,89.0
2000-01-01,Alcohol,123.0
2001-01-01,Alcohol,140.0
2002-01-01,Alcohol,156.0
2003-01-01,Alcohol,128.0
2004-01-01,Alcohol,116.0
2005-01-01,Alcohol,114.0
2006-01-01,Alcohol,131.0
2007-01-01,Alcohol,157.0
2008-01-01,Alcohol,167.0
2009-01-01,Alcohol,165.0
2010-01-01,Alcohol,127.0
2011-01-01,Alcohol,129.0
2012-01-01,Alcohol,111.0
2013-01-01,Alcohol,103.0
2014-01-01,Alcohol,106.0
2015-01-01,Alcohol,107.0
2016-01-01,Alcohol,112.0
2017-01-01,Alcohol,90.0
2018-01-01,Alcohol,156.0
2019-01-01,Alcohol,140.0
2020-01-01,Alcohol,173.0
