id,ISO3,COUNTRY
175,MYT,Mayotte
516,NAM,Namibia
540,NCL,New Caledonia
562,NER,Niger
574,NFK,Norfolk Island
566,NGA,Nigeria
558,NIC,Nicaragua
570,NIU,Niue
528,NLD,Netherlands
578,NOR,Norway
524,NPL,Nepal
520,NRU,Nauru
554,NZL,New Zealand
512,OMN,Oman
586,PAK,Pakistan
591,PAN,Panama
612,PCN,Pitcairn
604,PER,Peru
608,PHL,Philippines
585,PLW,Palau
598,PNG,Papua New Guinea
616,POL,Poland
630,PRI,Puerto Rico
408,PRK,"Korea, Democratic People's Republic of"
620,PRT,Portugal
600,PRY,Paraguay
275,PSE,"Palestine, State of"
258,PYF,French Polynesia
634,QAT,Qatar
638,REU,Réunion
642,ROU,Romania
643,RUS,Russian Federation
646,RWA,Rwanda
682,SAU,Saudi Arabia
729,SDN,Sudan
686,SEN,Senegal
702,SGP,Singapore
239,SGS,South Georgia and the South Sandwich Islands
654,SHN,"Saint Helena, Ascension and Tristan da Cunha"
744,SJM,Svalbard and Jan Mayen
90,SLB,Solomon Islands
694,SLE,Sierra Leone
222,SLV,El Salvador
674,SMR,San Marino
706,SOM,Somalia
666,SPM,Saint Pierre and Miquelon
688,SRB,Serbia
728,SSD,South Sudan
678,STP,Sao Tome and Principe
740,SUR,Suriname
703,SVK,Slovakia
705,SVN,Slovenia
752,SWE,Sweden
748,SWZ,Eswatini
534,SXM,Sint Maarten (Dutch part)
690,SYC,Seychelles
760,SYR,Syrian Arab Republic
796,TCA,Turks and Caicos Islands
148,TCD,Chad
768,TGO,Togo
764,THA,Thailand
762,TJK,Tajikistan
772,TKL,Tokelau
795,TKM,Turkmenistan
626,TLS,Timor-Leste
776,TON,Tonga
780,TTO,Trinidad and Tobago
788,TUN,Tunisia
792,TUR,Turkey
798,TUV,Tuvalu
158,TWN,"Taiwan, Province of China"
834,TZA,"Tanzania, United Republic of"
800,UGA,Uganda
804,UKR,Ukraine
581,UMI,United States Minor Outlying Islands
858,URY,Uruguay
840,USA,United States
860,UZB,Uzbekistan
336,VAT,Holy See (Vatican City State)
670,VCT,Saint Vincent and the Grenadines
862,VEN,"Venezuela, Bolivarian Republic of"
92,VGB,"Virgin Islands, British"
850,VIR,"Virgin Islands, U.S."
704,VNM,Viet Nam
548,VUT,Vanuatu
876,WLF,Wallis and Futuna
882,WSM,Samoa
887,YEM,Yemen
710,ZAF,South Africa
894,ZMB,Zambia
716,ZWE,Zimbabwe
999,XKX,Kosovo
