,year,region_sdg,stat,amount
81,2010,Central and Southern Asia,pop_t,1799535.5860000001
82,2010,Eastern and South-Eastern Asia,pop_t,2183049.786
83,2010,Europe and Northern America,pop_t,1079599.4239999999
84,2010,Latin America and the Caribbean,pop_t,590547.018
85,2010,Northern Africa and Western Asia,pop_t,445699.543
86,2010,Oceania,pop_t,10737.258
87,2010,Sub-Saharan Africa,pop_t,838405.072
88,2011,Australia and New Zealand,pop_t,26738.303
89,2011,Central and Southern Asia,pop_t,1825861.316
90,2011,Eastern and South-Eastern Asia,pop_t,2199954.047
91,2011,Europe and Northern America,pop_t,1083958.517
92,2011,Latin America and the Caribbean,pop_t,597179.839
93,2011,Northern Africa and Western Asia,pop_t,454525.485
94,2011,Oceania,pop_t,10991.83
95,2011,Sub-Saharan Africa,pop_t,871958.93
96,2012,Australia and New Zealand,pop_t,27139.553
97,2012,Central and Southern Asia,pop_t,1851684.1090000002
98,2012,Eastern and South-Eastern Asia,pop_t,2217592.21
99,2012,Europe and Northern America,pop_t,1088406.55
100,2012,Latin America and the Caribbean,pop_t,603818.796
101,2012,Northern Africa and Western Asia,pop_t,463548.683
102,2012,Oceania,pop_t,11243.856
103,2012,Sub-Saharan Africa,pop_t,896294.133
104,2013,Australia and New Zealand,pop_t,27562.426
105,2013,Central and Southern Asia,pop_t,1876868.0520000001
106,2013,Eastern and South-Eastern Asia,pop_t,2235202.212
107,2013,Europe and Northern America,pop_t,1092612.795
108,2013,Latin America and the Caribbean,pop_t,610323.373
109,2013,Northern Africa and Western Asia,pop_t,473304.453
110,2013,Oceania,pop_t,11495.019
111,2013,Sub-Saharan Africa,pop_t,921259.5719999999
112,2014,Australia and New Zealand,pop_t,27983.774
113,2014,Central and Southern Asia,pop_t,1901834.733
114,2014,Eastern and South-Eastern Asia,pop_t,2252136.826
115,2014,Europe and Northern America,pop_t,1096639.293
116,2014,Latin America and the Caribbean,pop_t,616734.054
117,2014,Northern Africa and Western Asia,pop_t,483310.852
118,2014,Oceania,pop_t,11745.198
119,2014,Sub-Saharan Africa,pop_t,946689.958
120,2015,Australia and New Zealand,pop_t,28410.826
121,2015,Central and Southern Asia,pop_t,1926326.821
122,2015,Eastern and South-Eastern Asia,pop_t,2268354.881
123,2015,Europe and Northern America,pop_t,1100651.057
124,2015,Latin America and the Caribbean,pop_t,623076.4909999999
125,2015,Northern Africa and Western Asia,pop_t,493116.187
126,2015,Oceania,pop_t,11992.457
127,2015,Sub-Saharan Africa,pop_t,972747.512
128,2016,Australia and New Zealand,pop_t,28863.782
129,2016,Central and Southern Asia,pop_t,1950523.1840000001
130,2016,Eastern and South-Eastern Asia,pop_t,2284025.991
131,2016,Europe and Northern America,pop_t,1104852.821
132,2016,Latin America and the Caribbean,pop_t,629341.007
133,2016,Northern Africa and Western Asia,pop_t,502685.422
134,2016,Oceania,pop_t,12237.092999999999
135,2016,Sub-Saharan Africa,pop_t,999030.497
136,2017,Australia and New Zealand,pop_t,29336.586
137,2017,Central and Southern Asia,pop_t,1974712.26
138,2017,Eastern and South-Eastern Asia,pop_t,2299526.925
139,2017,Europe and Northern America,pop_t,1109023.22
140,2017,Latin America and the Caribbean,pop_t,635448.199
141,2017,Northern Africa and Western Asia,pop_t,511906.703
142,2017,Oceania,pop_t,12480.342
143,2017,Sub-Saharan Africa,pop_t,1025491.3
144,2018,Australia and New Zealand,pop_t,29817.756
145,2018,Central and Southern Asia,pop_t,1998466.732
146,2018,Eastern and South-Eastern Asia,pop_t,2313047.1010000003
147,2018,Europe and Northern America,pop_t,1112782.649
148,2018,Latin America and the Caribbean,pop_t,641303.736
149,2018,Northern Africa and Western Asia,pop_t,521044.845
150,2018,Oceania,pop_t,12721.922
151,2018,Sub-Saharan Africa,pop_t,1052727.868
152,2019,Australia and New Zealand,pop_t,30316.203999999998
153,2019,Central and Southern Asia,pop_t,2021559.652
154,2019,Eastern and South-Eastern Asia,pop_t,2324282.003
155,2019,Europe and Northern America,pop_t,1116301.301
156,2019,Latin America and the Caribbean,pop_t,646846.759
157,2019,Northern Africa and Western Asia,pop_t,530149.5599999999
158,2019,Oceania,pop_t,12961.947
159,2019,Sub-Saharan Africa,pop_t,1080677.347
160,2020,Australia and New Zealand,pop_t,30731.184
161,2020,Central and Southern Asia,pop_t,2044342.31
162,2020,Eastern and South-Eastern Asia,pop_t,2333344.074
163,2020,Europe and Northern America,pop_t,1118340.219
164,2020,Latin America and the Caribbean,pop_t,651836.119
165,2020,Northern Africa and Western Asia,pop_t,538055.459
166,2020,Oceania,pop_t,13202.242
167,2020,Sub-Saharan Africa,pop_t,1109259.462
168,2021,Australia and New Zealand,pop_t,31050.816
169,2021,Central and Southern Asia,pop_t,2065350.053
170,2021,Eastern and South-Eastern Asia,pop_t,2339492.986
171,2021,Europe and Northern America,pop_t,1118618.025
172,2021,Latin America and the Caribbean,pop_t,656098.096
173,2021,Northern Africa and Western Asia,pop_t,545470.861
174,2021,Oceania,pop_t,13440.908000000001
175,2021,Sub-Saharan Africa,pop_t,1137938.709
176,2022,Australia and New Zealand,pop_t,31362.701
177,2022,Central and Southern Asia,pop_t,2084589.543
178,2022,Eastern and South-Eastern Asia,pop_t,2344325.113
179,2022,Europe and Northern America,pop_t,1118592.667
180,2022,Latin America and the Caribbean,pop_t,660269.074
181,2022,Northern Africa and Western Asia,pop_t,553690.053
182,2022,Oceania,pop_t,13675.853000000001
183,2022,Sub-Saharan Africa,pop_t,1166766.36
184,2000,Australia and New Zealand,pop_r,-1910738.746852356
185,2000,Central and Southern Asia,pop_r,-43808169.64150506
186,2000,Eastern and South-Eastern Asia,pop_r,-79993474.30319776
187,2000,Europe and Northern America,pop_r,-75235266.69071291
188,2000,Latin America and the Caribbean,pop_r,-38937978.24225168
189,2000,Northern Africa and Western Asia,pop_r,-20067326.09680332
190,2000,Oceania,pop_r,-190735.77035877318
191,2000,Sub-Saharan Africa,pop_r,-19623866.789290305
192,2001,Australia and New Zealand,pop_r,-1930523.820894638
193,2001,Central and Southern Asia,pop_r,-45089368.056796946
194,2001,Eastern and South-Eastern Asia,pop_r,-82741907.84190407
195,2001,Europe and Northern America,pop_r,-75645466.5846962
196,2001,Latin America and the Caribbean,pop_r,-39679041.97725607
197,2001,Northern Africa and Western Asia,pop_r,-20568136.13944156
198,2001,Oceania,pop_r,-195007.89097250463
199,2001,Sub-Saharan Africa,pop_r,-20440867.85126448
200,2002,Australia and New Zealand,pop_r,-1957084.0359352417
201,2002,Central and Southern Asia,pop_r,-46452994.95359914
202,2002,Eastern and South-Eastern Asia,pop_r,-85712018.07392523
203,2002,Europe and Northern America,pop_r,-76081582.89164217
204,2002,Latin America and the Caribbean,pop_r,-40397629.880811684
205,2002,Northern Africa and Western Asia,pop_r,-21077741.721517097
206,2002,Oceania,pop_r,-199085.76573038095
207,2002,Sub-Saharan Africa,pop_r,-21299036.67469804
208,2003,Australia and New Zealand,pop_r,-1984357.0833358152
209,2003,Central and Southern Asia,pop_r,-47822554.27920712
210,2003,Eastern and South-Eastern Asia,pop_r,-88687091.04358906
211,2003,Europe and Northern America,pop_r,-76549641.58240768
212,2003,Latin America and the Caribbean,pop_r,-41100815.82870995
213,2003,Northern Africa and Western Asia,pop_r,-21593929.328379236
214,2003,Oceania,pop_r,-203271.98463606837
215,2003,Sub-Saharan Africa,pop_r,-22191857.72161823
216,2004,Australia and New Zealand,pop_r,-2011071.6835715254
217,2004,Central and Southern Asia,pop_r,-49230609.61140322
218,2004,Eastern and South-Eastern Asia,pop_r,-91693326.4892593
219,2004,Europe and Northern America,pop_r,-77046550.0117075
220,2004,Latin America and the Caribbean,pop_r,-41791953.26888761
221,2004,Northern Africa and Western Asia,pop_r,-22124249.764233187
222,2004,Oceania,pop_r,-207530.47290290068
223,2004,Sub-Saharan Africa,pop_r,-23124862.883524578
224,2005,Australia and New Zealand,pop_r,-2038689.2811323167
225,2005,Central and Southern Asia,pop_r,-50643841.02426607
226,2005,Eastern and South-Eastern Asia,pop_r,-94728243.50133911
227,2005,Europe and Northern America,pop_r,-77555725.92452823
228,2005,Latin America and the Caribbean,pop_r,-42478826.409528635
229,2005,Northern Africa and Western Asia,pop_r,-22716284.996314265
230,2005,Oceania,pop_r,-211833.740338953
231,2005,Sub-Saharan Africa,pop_r,-24106749.272904452
232,2006,Australia and New Zealand,pop_r,-2070060.4761177213
233,2006,Central and Southern Asia,pop_r,-52054095.13152954
234,2006,Eastern and South-Eastern Asia,pop_r,-97730829.89705054
235,2006,Europe and Northern America,pop_r,-78116370.23454368
236,2006,Latin America and the Caribbean,pop_r,-43157738.73548929
237,2006,Northern Africa and Western Asia,pop_r,-23377434.99333134
238,2006,Oceania,pop_r,-216221.24938582417
239,2006,Sub-Saharan Africa,pop_r,-25125798.887467597
240,2007,Australia and New Zealand,pop_r,-2106343.917873932
241,2007,Central and Southern Asia,pop_r,-53457629.53140152
242,2007,Eastern and South-Eastern Asia,pop_r,-100746679.21489657
243,2007,Europe and Northern America,pop_r,-78693393.75140765
244,2007,Latin America and the Caribbean,pop_r,-43829427.866988555
245,2007,Northern Africa and Western Asia,pop_r,-24078515.919254195
246,2007,Oceania,pop_r,-220660.09074776457
247,2007,Sub-Saharan Africa,pop_r,-26154112.598626036
248,2008,Australia and New Zealand,pop_r,-2146923.558926193
249,2008,Central and Southern Asia,pop_r,-54873217.99412461
250,2008,Eastern and South-Eastern Asia,pop_r,-103807029.80983374
251,2008,Europe and Northern America,pop_r,-79293032.10874206
252,2008,Latin America and the Caribbean,pop_r,-44490844.70733414
253,2008,Northern Africa and Western Asia,pop_r,-24808386.14867114
254,2008,Oceania,pop_r,-225138.12691059682
255,2008,Sub-Saharan Africa,pop_r,-27296463.180651225
256,2009,Australia and New Zealand,pop_r,-2187571.425789459
257,2009,Central and Southern Asia,pop_r,-56323203.97195254
258,2009,Eastern and South-Eastern Asia,pop_r,-106906258.57450105
259,2009,Europe and Northern America,pop_r,-79867427.32169381
260,2009,Latin America and the Caribbean,pop_r,-45146687.40154955
261,2009,Northern Africa and Western Asia,pop_r,-25549197.886719156
262,2009,Oceania,pop_r,-229614.77662015535
263,2009,Sub-Saharan Africa,pop_r,-28485460.424885027
264,2010,Australia and New Zealand,pop_r,-2223751.7099415744
265,2010,Central and Southern Asia,pop_r,-57814790.39276085
266,2010,Eastern and South-Eastern Asia,pop_r,-110038101.89506489
267,2010,Europe and Northern America,pop_r,-80406752.35104367
268,2010,Latin America and the Caribbean,pop_r,-45812880.561608866
269,2010,Northern Africa and Western Asia,pop_r,-26257246.69581914
270,2010,Oceania,pop_r,-234138.47866287327
271,2010,Sub-Saharan Africa,pop_r,-29728280.620554842
272,2011,Australia and New Zealand,pop_r,-2257543.8490723344
273,2011,Central and Southern Asia,pop_r,-59321051.498399116
274,2011,Eastern and South-Eastern Asia,pop_r,-112994699.6698709
275,2011,Europe and Northern America,pop_r,-80946297.44256288
276,2011,Latin America and the Caribbean,pop_r,-46492999.58206957
277,2011,Northern Africa and Western Asia,pop_r,-26887779.149936613
278,2011,Oceania,pop_r,-238804.55870204163
279,2011,Sub-Saharan Africa,pop_r,-31198077.276166636
280,2012,Australia and New Zealand,pop_r,-2293979.9813012923
281,2012,Central and Southern Asia,pop_r,-60835373.41106039
282,2012,Eastern and South-Eastern Asia,pop_r,-115943784.8419908
283,2012,Europe and Northern America,pop_r,-81485504.69063312
284,2012,Latin America and the Caribbean,pop_r,-47172206.1612609
285,2012,Northern Africa and Western Asia,pop_r,-27538154.278567586
286,2012,Oceania,pop_r,-243512.05606795696
287,2012,Sub-Saharan Africa,pop_r,-32537110.44418977
288,2013,Australia and New Zealand,pop_r,-2332280.112484741
289,2013,Central and Southern Asia,pop_r,-62368804.91562166
290,2013,Eastern and South-Eastern Asia,pop_r,-118913883.43361928
291,2013,Europe and Northern America,pop_r,-82010677.70246422
292,2013,Latin America and the Caribbean,pop_r,-47840965.316509746
293,2013,Northern Africa and Western Asia,pop_r,-28273186.45490365
294,2013,Oceania,pop_r,-248177.39426270197
295,2013,Sub-Saharan Africa,pop_r,-33925847.54377158
296,2014,Australia and New Zealand,pop_r,-2370548.3167666015
297,2014,Central and Southern Asia,pop_r,-63944510.57470255
298,2014,Eastern and South-Eastern Asia,pop_r,-121877538.24252157
299,2014,Europe and Northern America,pop_r,-82523568.99899086
300,2014,Latin America and the Caribbean,pop_r,-48504442.282204844
301,2014,Northern Africa and Western Asia,pop_r,-29038673.898908317
302,2014,Oceania,pop_r,-252896.95961931895
303,2014,Sub-Saharan Africa,pop_r,-35371823.428024225
304,2015,Australia and New Zealand,pop_r,-2409363.245514633
305,2015,Central and Southern Asia,pop_r,-65553557.12065548
306,2015,Eastern and South-Eastern Asia,pop_r,-124824283.46558644
307,2015,Europe and Northern America,pop_r,-83039520.40822466
308,2015,Latin America and the Caribbean,pop_r,-49164201.596657805
309,2015,Northern Africa and Western Asia,pop_r,-29803034.880860996
310,2015,Oceania,pop_r,-257578.4160496235
311,2015,Sub-Saharan Africa,pop_r,-36883892.74652871
312,2016,Australia and New Zealand,pop_r,-2450449.458563797
313,2016,Central and Southern Asia,pop_r,-67175954.9990805
314,2016,Eastern and South-Eastern Asia,pop_r,-127757561.28043869
315,2016,Europe and Northern America,pop_r,-83576624.3016616
316,2016,Latin America and the Caribbean,pop_r,-49817835.22615318
317,2016,Northern Africa and Western Asia,pop_r,-30533332.867683206
318,2016,Oceania,pop_r,-262258.47583147715
319,2016,Sub-Saharan Africa,pop_r,-38419577.488098115
320,2017,Australia and New Zealand,pop_r,-2493461.078690277
321,2017,Central and Southern Asia,pop_r,-68821427.10116652
322,2017,Eastern and South-Eastern Asia,pop_r,-130688476.1209896
323,2017,Europe and Northern America,pop_r,-84119620.62277485
324,2017,Latin America and the Caribbean,pop_r,-50457791.81835537
325,2017,Northern Africa and Western Asia,pop_r,-31231825.856286794
326,2017,Oceania,pop_r,-267044.84254984476
327,2017,Sub-Saharan Africa,pop_r,-39986921.66499588
328,2018,Australia and New Zealand,pop_r,-2537412.173411957
329,2018,Central and Southern Asia,pop_r,-70490906.58502808
330,2018,Eastern and South-Eastern Asia,pop_r,-133487632.38665883
331,2018,Europe and Northern America,pop_r,-84639041.5517811
332,2018,Latin America and the Caribbean,pop_r,-51074091.282245785
333,2018,Northern Africa and Western Asia,pop_r,-31927168.10951112
334,2018,Oceania,pop_r,-271956.8179515171
335,2018,Sub-Saharan Africa,pop_r,-41624578.39589563
336,2019,Australia and New Zealand,pop_r,-2583071.4761598967
337,2019,Central and Southern Asia,pop_r,-72172984.4927298
338,2019,Eastern and South-Eastern Asia,pop_r,-136123041.99128386
339,2019,Europe and Northern America,pop_r,-85148901.68371156
340,2019,Latin America and the Caribbean,pop_r,-51668066.49104732
341,2019,Northern Africa and Western Asia,pop_r,-32622218.774659377
342,2019,Oceania,pop_r,-276995.35896355053
343,2019,Sub-Saharan Africa,pop_r,-43316122.676258095
344,2020,Australia and New Zealand,pop_r,-2621874.9685016326
345,2020,Central and Southern Asia,pop_r,-73874830.15036824
346,2020,Eastern and South-Eastern Asia,pop_r,-138590677.8238688
347,2020,Europe and Northern America,pop_r,-85551792.27899204
348,2020,Latin America and the Caribbean,pop_r,-52223710.741750695
349,2020,Northern Africa and Western Asia,pop_r,-33228140.29272334
350,2020,Oceania,pop_r,-282469.7839449902
351,2020,Sub-Saharan Africa,pop_r,-45062885.01840976
352,2021,Australia and New Zealand,pop_r,-2652750.1045417557
353,2021,Central and Southern Asia,pop_r,-75553681.50035177
354,2021,Eastern and South-Eastern Asia,pop_r,-140842513.22321606
355,2021,Europe and Northern America,pop_r,-85828899.12587029
356,2021,Latin America and the Caribbean,pop_r,-52722476.285832115
357,2021,Northern Africa and Western Asia,pop_r,-33808618.27240946
358,2021,Oceania,pop_r,-288360.2105498113
359,2021,Sub-Saharan Africa,pop_r,-46844263.422871515
360,2022,Australia and New Zealand,pop_r,-2683188.104056915
361,2022,Central and Southern Asia,pop_r,-77213883.44911961
362,2022,Eastern and South-Eastern Asia,pop_r,-142973039.87295115
363,2022,Europe and Northern America,pop_r,-86062298.21169093
364,2022,Latin America and the Caribbean,pop_r,-53217731.9099098
365,2022,Northern Africa and Western Asia,pop_r,-34462631.2128851
366,2022,Oceania,pop_r,-294612.5629749413
367,2022,Sub-Saharan Africa,pop_r,-48664685.87643351
368,2000,Australia and New Zealand,pop_u,1933611.9758523558
369,2000,Central and Southern Asia,pop_u,45336598.63650507
370,2000,Eastern and South-Eastern Asia,pop_u,82010860.77719775
371,2000,Europe and Northern America,pop_u,76272838.94271292
372,2000,Latin America and the Caribbean,pop_u,39460453.68025168
373,2000,Northern Africa and Western Asia,pop_u,20428987.76980332
374,2000,Oceania,pop_u,199085.31935877318
375,2000,Sub-Saharan Africa,pop_u,20264386.744290303
376,2001,Australia and New Zealand,pop_u,1953661.5428946381
377,2001,Central and Southern Asia,pop_u,46646912.63979694
378,2001,Eastern and South-Eastern Asia,pop_u,84776420.37590407
379,2001,Europe and Northern America,pop_u,76686323.2566962
380,2001,Latin America and the Caribbean,pop_u,40208917.01225607
381,2001,Northern Africa and Western Asia,pop_u,20936853.25244156
382,2001,Oceania,pop_u,203584.77197250462
383,2001,Sub-Saharan Africa,pop_u,21098449.83826448
384,2002,Australia and New Zealand,pop_u,1980508.4639352416
385,2002,Central and Southern Asia,pop_u,48039577.57259914
386,2002,Eastern and South-Eastern Asia,pop_u,87763957.77092522
387,2002,Europe and Northern America,pop_u,77125693.15564218
388,2002,Latin America and the Caribbean,pop_u,40934750.741811685
389,2002,Northern Africa and Western Asia,pop_u,21453576.7535171
390,2002,Oceania,pop_u,207891.34173038098
391,2002,Sub-Saharan Africa,pop_u,21974274.15369804
392,2003,Australia and New Zealand,pop_u,2008076.0233358154
393,2003,Central and Southern Asia,pop_u,49437699.43020711
394,2003,Eastern and South-Eastern Asia,pop_u,90755170.72958906
395,2003,Europe and Northern America,pop_u,77597301.11840767
396,2003,Latin America and the Caribbean,pop_u,41644978.28070995
397,2003,Northern Africa and Western Asia,pop_u,21976932.506379236
398,2003,Oceania,pop_u,212309.51463606834
399,2003,Sub-Saharan Africa,pop_u,22885297.54661823
400,2004,Australia and New Zealand,pop_u,2035078.1485715257
401,2004,Central and Southern Asia,pop_u,50873889.168403216
402,2004,Eastern and South-Eastern Asia,pop_u,93777324.8492593
403,2004,Europe and Northern America,pop_u,78098084.25170751
404,2004,Latin America and the Caribbean,pop_u,42343034.84188761
405,2004,Northern Africa and Western Asia,pop_u,22514595.055233188
406,2004,Oceania,pop_u,216802.4529029007
407,2004,Sub-Saharan Africa,pop_u,23837124.914524578
408,2005,Australia and New Zealand,pop_u,2062993.7931323166
409,2005,Central and Southern Asia,pop_u,52314525.23226607
410,2005,Eastern and South-Eastern Asia,pop_u,96828159.12133911
411,2005,Europe and Northern America,pop_u,78611252.26952823
412,2005,Latin America and the Caribbean,pop_u,43036748.935528636
413,2005,Northern Africa and Western Asia,pop_u,23114621.104314268
414,2005,Oceania,pop_u,221342.254338953
415,2005,Sub-Saharan Africa,pop_u,24838414.717904452
416,2006,Australia and New Zealand,pop_u,2094707.4841177212
417,2006,Central and Southern Asia,pop_u,53751271.57452954
418,2006,Eastern and South-Eastern Asia,pop_u,99846869.01505055
419,2006,Europe and Northern America,pop_u,79176669.23354368
420,2006,Latin America and the Caribbean,pop_u,43722361.05748928
421,2006,Northern Africa and Western Asia,pop_u,23784607.78933134
422,2006,Oceania,pop_u,225969.77138582416
423,2006,Sub-Saharan Africa,pop_u,25877468.315467596
424,2007,Australia and New Zealand,pop_u,2131396.239873932
425,2007,Central and Southern Asia,pop_u,55180227.367401525
426,2007,Eastern and South-Eastern Asia,pop_u,102879205.15389657
427,2007,Europe and Northern America,pop_u,79758555.22840765
428,2007,Latin America and the Caribbean,pop_u,44400631.13798855
429,2007,Northern Africa and Western Asia,pop_u,24495136.279254194
430,2007,Oceania,pop_u,230651.61174776455
431,2007,Sub-Saharan Africa,pop_u,26926483.836626034
432,2008,Australia and New Zealand,pop_u,2172431.6709261932
433,2008,Central and Southern Asia,pop_u,56620938.925124615
434,2008,Eastern and South-Eastern Asia,pop_u,105956208.11283374
435,2008,Europe and Northern America,pop_u,80363369.78874205
436,2008,Latin America and the Caribbean,pop_u,45068493.169334136
437,2008,Northern Africa and Western Asia,pop_u,25234776.39567114
438,2008,Oceania,pop_u,235374.79991059683
439,2008,Sub-Saharan Africa,pop_u,28090214.148651227
440,2009,Australia and New Zealand,pop_u,2213535.203789459
441,2009,Central and Southern Asia,pop_u,58096572.137952544
442,2009,Eastern and South-Eastern Asia,pop_u,109072329.24250105
443,2009,Europe and Northern America,pop_u,80942608.7386938
444,2009,Latin America and the Caribbean,pop_u,45730714.80254954
445,2009,Northern Africa and Western Asia,pop_u,25985440.190719157
446,2009,Oceania,pop_u,240099.27262015536
447,2009,Sub-Saharan Africa,pop_u,29301200.748885028
448,2010,Australia and New Zealand,pop_u,2250117.2159415744
449,2010,Central and Southern Asia,pop_u,59614325.97876085
450,2010,Eastern and South-Eastern Asia,pop_u,112221151.6810649
451,2010,Europe and Northern America,pop_u,81486351.77504367
452,2010,Latin America and the Caribbean,pop_u,46403382.13360886
453,2010,Northern Africa and Western Asia,pop_u,26702946.23881914
454,2010,Oceania,pop_u,244875.73666287327
455,2010,Sub-Saharan Africa,pop_u,30566685.692554846
456,2011,Australia and New Zealand,pop_u,2284282.152072334
457,2011,Central and Southern Asia,pop_u,61146912.81439912
458,2011,Eastern and South-Eastern Asia,pop_u,115194653.7168709
459,2011,Europe and Northern America,pop_u,82030255.95956287
460,2011,Latin America and the Caribbean,pop_u,47090133.963069566
461,2011,Northern Africa and Western Asia,pop_u,27342304.634936612
462,2011,Oceania,pop_u,249796.38870204164
463,2011,Sub-Saharan Africa,pop_u,32070036.20616664
464,2012,Australia and New Zealand,pop_u,2321119.534301292
465,2012,Central and Southern Asia,pop_u,62687057.52006039
466,2012,Eastern and South-Eastern Asia,pop_u,118161377.05199079
467,2012,Europe and Northern America,pop_u,82573911.24063312
468,2012,Latin America and the Caribbean,pop_u,47775979.7152609
469,2012,Northern Africa and Western Asia,pop_u,28001702.961567584
470,2012,Oceania,pop_u,254755.91206795693
471,2012,Sub-Saharan Africa,pop_u,33433404.57718977
472,2013,Australia and New Zealand,pop_u,2359842.538484741
473,2013,Central and Southern Asia,pop_u,64245672.967621654
474,2013,Eastern and South-Eastern Asia,pop_u,121149085.64561929
475,2013,Europe and Northern America,pop_u,83103290.49746421
476,2013,Latin America and the Caribbean,pop_u,48451243.71250975
477,2013,Northern Africa and Western Asia,pop_u,28746490.907903653
478,2013,Oceania,pop_u,259672.41326270197
479,2013,Sub-Saharan Africa,pop_u,34847107.11577158
480,2014,Australia and New Zealand,pop_u,2398532.0907666017
481,2014,Central and Southern Asia,pop_u,65846345.30770256
482,2014,Eastern and South-Eastern Asia,pop_u,124129675.06852157
483,2014,Europe and Northern America,pop_u,83620208.29199088
484,2014,Latin America and the Caribbean,pop_u,49121131.60320485
485,2014,Northern Africa and Western Asia,pop_u,29521984.75090832
486,2014,Oceania,pop_u,264642.157619319
487,2014,Sub-Saharan Africa,pop_u,36318513.38602422
488,2015,Australia and New Zealand,pop_u,2437774.0715146335
489,2015,Central and Southern Asia,pop_u,67479883.94165549
490,2015,Eastern and South-Eastern Asia,pop_u,127092638.34658644
491,2015,Europe and Northern America,pop_u,84140171.46522465
